Date,Store_ID,Product_ID,Units_Sold,Price_per_Unit
2023-01-01,1,1,7,81.68886881742095
2023-01-02,1,1,8,63.8792635777333
2023-01-03,1,1,7,50.124947756823204
2023-01-04,1,1,7,15.227525095137953
2023-01-05,1,1,8,40.033775002511966
2023-01-06,1,1,8,73.7265320016441
2023-01-07,1,1,6,15.077042112439024
2023-01-08,1,1,8,84.91983767203796
2023-01-09,1,1,6,10.070088925691289
2023-01-10,1,1,5,65.57333586649449
2023-01-11,1,1,10,57.228078846901404
2023-01-12,1,1,9,36.21062261782377
2023-01-13,1,1,10,14.19990968922539
2023-01-14,1,1,3,44.42157921404465
2023-01-15,1,1,4,63.31731119758382
2023-01-16,1,1,3,87.39463660626885
2023-01-17,1,1,7,25.347171131856236
2023-01-18,1,1,7,11.193846504387988
2023-01-19,1,1,9,96.90688297671034
2023-01-20,1,1,2,44.68748522859245
2023-01-21,1,1,10,18.79049026057455
2023-01-22,1,1,4,31.692291942341054
2023-01-23,1,1,7,64.89969920043589
2023-01-24,1,1,8,13.094966900369656
2023-01-25,1,1,1,33.290198344001524
2023-01-26,1,1,8,77.98252692858873
2023-01-27,1,1,6,28.714749658136995
2023-01-28,1,1,4,26.636900997297435
2023-01-29,1,1,2,79.76195410250031
2023-01-30,1,1,2,45.5635212401633
2023-01-31,1,1,4,63.810998092997664
2023-02-01,1,1,8,61.339957696485946
2023-02-02,1,1,9,96.50548219144142
2023-02-03,1,1,5,44.98095607205338
2023-02-04,1,1,2,58.572291915017175
2023-02-05,1,1,8,42.10779940242303
2023-02-06,1,1,9,36.664615513367416
2023-02-07,1,1,1,11.407276606707454
2023-02-08,1,1,9,79.50202923669917
2023-02-09,1,1,8,10.496990541124216
2023-02-10,1,1,3,73.61716094628554
2023-02-11,1,1,3,81.1157986478085
2023-02-12,1,1,5,93.36707906620141
2023-02-13,1,1,10,20.428215357261674
2023-02-14,1,1,7,86.50347200108193
2023-02-15,1,1,2,18.586910484137018
2023-02-16,1,1,7,37.9884089544096
2023-02-17,1,1,8,69.9330120955747
2023-02-18,1,1,8,34.72496136910577
2023-02-19,1,1,3,52.49934326457544
2023-02-20,1,1,5,97.45408858501933
2023-02-21,1,1,3,78.47065437552077
2023-02-22,1,1,10,31.238642777406017
2023-02-23,1,1,7,13.639023058458822
2023-02-24,1,1,10,12.287721406968567
2023-02-25,1,1,3,12.828626711806082
2023-02-26,1,1,7,52.783320086390056
2023-02-27,1,1,4,91.68098265334837
2023-02-28,1,1,7,64.39756413500355
2023-03-01,1,1,4,94.8568213502183
2023-03-02,1,1,7,36.077630762239124
2023-03-03,1,1,6,89.2421055113732
2023-03-04,1,1,10,82.73083416079753
2023-03-05,1,1,9,19.494483384724354
2023-03-06,1,1,4,90.330309864098
2023-03-07,1,1,10,20.9879159230606
2023-03-08,1,1,9,38.62031274746775
2023-03-09,1,1,1,34.49190244461718
2023-03-10,1,1,9,83.62132893302439
2023-03-11,1,1,9,37.43031323422261
2023-03-12,1,1,6,55.967257231980916
2023-03-13,1,1,9,53.63469742230849
2023-03-14,1,1,1,20.787883060031454
2023-03-15,1,1,8,94.86187335212672
2023-03-16,1,1,6,29.68877976157632
2023-03-17,1,1,8,73.27170630056601
2023-03-18,1,1,1,15.840302239808342
2023-03-19,1,1,10,96.62025654479001
2023-03-20,1,1,7,54.75236553031469
2023-03-21,1,1,1,23.32782369580599
2023-03-22,1,1,8,13.319825261907951
2023-03-23,1,1,1,97.89534602493876
2023-03-24,1,1,6,12.974565961049354
2023-03-25,1,1,1,67.09162102312274
2023-03-26,1,1,2,57.78411249854228
2023-03-27,1,1,10,98.70854086995406
2023-03-28,1,1,7,70.49219926652907
2023-03-29,1,1,8,31.38737895931597
2023-03-30,1,1,6,43.10048194473279
2023-03-31,1,1,4,98.50808268053586
2023-04-01,1,1,6,58.21972156672826
2023-04-02,1,1,1,23.564578956888653
2023-04-03,1,1,6,72.62315261117936
2023-04-04,1,1,3,63.18036488694176
2023-04-05,1,1,4,11.492904603507053
2023-04-06,1,1,3,82.85509415257438
2023-04-07,1,1,4,68.06555113685049
2023-04-08,1,1,4,94.64709380406435
2023-04-09,1,1,8,44.806181167048365
2023-04-10,1,1,2,85.39390953165952
2023-04-11,1,1,9,20.212616911653015
2023-04-12,1,1,7,58.73031764448093
2023-04-13,1,1,10,33.21474649436401
2023-04-14,1,1,10,98.39515089964921
2023-04-15,1,1,4,57.66855205204058
2023-04-16,1,1,2,99.66283297821319
2023-04-17,1,1,5,91.03762514469975
2023-04-18,1,1,7,40.51268119438306
2023-04-19,1,1,3,73.03220469754942
2023-04-20,1,1,3,87.06918626902832
2023-04-21,1,1,6,80.18879912718614
2023-04-22,1,1,8,86.58356038907614
2023-04-23,1,1,1,24.54658426851524
2023-04-24,1,1,6,70.20894292428058
2023-04-25,1,1,3,43.50544899055688
2023-04-26,1,1,9,69.71515921972502
2023-04-27,1,1,2,24.472724627574877
2023-04-28,1,1,2,53.705237822760395
2023-04-29,1,1,3,68.67651335523405
2023-04-30,1,1,9,25.833272740961085
